frame_idx,keypoint,x,y
0,NOSE,0,0
0,LEFT_SHOULDER,2622.083724975586,2449.484167098999
0,RIGHT_SHOULDER,2027.6581420898438,2760.3852882385254
0,LEFT_ELBOW,2642.1759338378906,2062.752920150757
0,RIGHT_ELBOW,1534.8545837402344,2873.568500518799
0,LEFT_WRIST,2658.1041870117188,1630.070463180542
0,RIGHT_WRIST,1068.2043914794922,2908.252372741699
0,LEFT_HIP,2677.7271423339844,3547.2014236450195
0,RIGHT_HIP,2308.7496643066406,3411.7437057495117
0,LEFT_KNEE,2316.8029861450195,4267.188480377197
0,RIGHT_KNEE,1665.5320129394531,3328.921588897705
0,LEFT_ANKLE,1927.4344024658203,4765.754814147949
0,RIGHT_ANKLE,1956.4947509765625,3956.5958862304688
0,LEFT_HEEL,1860.1257705688477,4833.669376373291
0,RIGHT_HEEL,2042.2383728027344,3968.2207260131836
0,LEFT_FOOT_INDEX,2023.2886047363281,4940.378311157227
0,RIGHT_FOOT_INDEX,2091.555107116699,4299.222141265869
