frame_idx,keypoint,x,y
0,NOSE,0,0
0,LEFT_SHOULDER,409.51520919799805,676.4166259765625
0,RIGHT_SHOULDER,308.2871603965759,718.2426452636719
0,LEFT_ELBOW,464.62027072906494,605.5345916748047
0,RIGHT_ELBOW,295.1181364059448,801.5444183349609
0,LEFT_WRIST,391.6560745239258,632.5777435302734
0,RIGHT_WRIST,268.3020329475403,880.7257080078125
0,LEFT_HIP,392.26006507873535,878.809814453125
0,RIGHT_HIP,320.485782623291,879.4361114501953
0,LEFT_KNEE,434.28062438964844,1000.2033996582031
0,RIGHT_KNEE,280.4156184196472,1000.1892852783203
0,LEFT_ANKLE,467.5848197937012,1127.58544921875
0,RIGHT_ANKLE,224.07092571258545,1142.2593688964844
0,LEFT_HEEL,462.3460578918457,1150.7865905761719
0,RIGHT_HEEL,229.0642762184143,1161.3011169433594
0,LEFT_FOOT_INDEX,485.85280895233154,1165.271224975586
0,RIGHT_FOOT_INDEX,183.16120862960815,1170.541000366211
